yearmonth,Sum of fare_amount
24088906,60
26739444,60
27228264,60
29151829,60
30955860,60
34345609,60
35834646,60
38055362,60
39930430,60
40237437,60
42650223,60
43152608,60
44637116,60
48222631,60
52122096,60
54393970,60
55066807,60
14982694,59.9
33000512,59.83
36866322,59.8
42129799,59.75
20282525,59.7
28259821,59.7
33868677,59.54
3234441,59.5
6360778,59.5
6510043,59.5
7657739,59.5
11530282,59.5
15358697,59.5
23477741,59.5
36535945,59.5
52537187,59.5
54056302,59.5
54163768,59.5
10185858,59.1
17873360,59.1
6729521,59.04
4054492,59
8635421,59
9405851,59
14519222,59
24643306,59
43579110,59
1243736,58.9
36435700,58.9
14258204,58.83
4078839,58.7
15526509,58.7
22002688,58.7
51536732,58.7
5178341,58.6
25088852,58.57
13187542,58.54
37730057,58.54
23344484,58.5
27944491,58.5
41422502,58.5
41450921,58.5
42803526,58.5
42930165,58.5
43149331,58.5
45330378,58.5
9272175,58.33
16382473,58.33
22421831,58.27
34339650,58.1
35441502,58.1
10120959,58
12567627,58
22179578,58
41770363,58
47114165,58
48086498,58
49983550,58
53184517,58
54019649,58
40603124,57.9
355194,57.83
4099336,57.83
41725165,57.81
14513334,57.8
559809,57.54
875829,57.54
906678,57.54
1070019,57.54
1494801,57.54
2247329,57.54
2357681,57.54
2621821,57.54
2892101,57.54
3564585,57.54
3744405,57.54
3857955,57.54
4598600,57.54
5914316,57.54
6052932,57.54
6278236,57.54
6507507,57.54
7590401,57.54
7657763,57.54
7970800,57.54
8284530,57.54
8585986,57.54
10497057,57.54
10690105,57.54
11575179,57.54
11640466,57.54
11739913,57.54
13249200,57.54
13287424,57.54
13630367,57.54
14208616,57.54
14652325,57.54
14654839,57.54
14895803,57.54
15294800,57.54
15493397,57.54
15769595,57.54
16598323,57.54
16698301,57.54
16953907,57.54
16975918,57.54
17019404,57.54
17247616,57.54
17904945,57.54
18120016,57.54
18165566,57.54
19077062,57.54
19089946,57.54
19335920,57.54
19338616,57.54
19740964,57.54
19750191,57.54
20132894,57.54
20552004,57.54
20873984,57.54
22038226,57.54
23587848,57.54
23598454,57.54
23677844,57.54
24231724,57.54
25299794,57.54
25487600,57.54
25567375,57.54
25933254,57.54
27156407,57.54
27304262,57.54
27438374,57.54
27721728,57.54
28106002,57.54
28353090,57.54
29179388,57.54
29513059,57.54
30745454,57.54
30809710,57.54
31593477,57.54
31781062,57.54
31962997,57.54
31977375,57.54
32394781,57.54
32401758,57.54
32853719,57.54
32975964,57.54
33995285,57.54
34098101,57.54
35425373,57.54
35966153,57.54
36504877,57.54
36521442,57.54
36764287,57.54
37477388,57.54
38487199,57.54
38808858,57.54
39973366,57.54
41734720,57.54
41758309,57.54
41877683,57.54
42408148,57.54
42478993,57.54
42500842,57.54
44353789,57.54
44582545,57.54
44711096,57.54
45625629,57.54
45701491,57.54
46102711,57.54
46122487,57.54
46467804,57.54
47033461,57.54
47039094,57.54
47437338,57.54
48695958,57.54
48972012,57.54
49947032,57.54
50520441,57.54
50843758,57.54
51245038,57.54
51358286,57.54
52365455,57.54
52850020,57.54
52870898,57.54
53594246,57.54
54130707,57.54
54825153,57.54
55322020,57.54
55369966,57.54
21592277,57.5
33869351,57.5
34493954,57.5
37864510,57.5
11490933,57.34
45096,57.33
150495,57.33
174526,57.33
251455,57.33
338058,57.33
374050,57.33
404539,57.33
481031,57.33
707863,57.33
775880,57.33
850662,57.33
1021844,57.33
1085070,57.33
1208008,57.33
1223020,57.33
1229960,57.33
1242873,57.33
1269441,57.33
1306457,57.33
1469207,57.33
1491852,57.33
1576444,57.33
1652039,57.33
1930530,57.33
1998218,57.33
2055120,57.33
2102961,57.33
2153992,57.33
2157118,57.33
2231839,57.33
2270822,57.33
2296001,57.33
2305304,57.33
2397337,57.33
2479515,57.33
2520524,57.33
2523302,57.33
2664565,57.33
2676222,57.33
2725444,57.33
2805717,57.33
2821831,57.33
3002092,57.33
3061235,57.33
3064980,57.33
3093211,57.33
3142521,57.33
3154241,57.33
3159893,57.33
3257060,57.33
3291599,57.33
3488421,57.33
3496168,57.33
3632410,57.33
3654004,57.33
3731734,57.33
3795607,57.33
3866002,57.33
3872835,57.33
3989897,57.33
4010367,57.33
4065099,57.33
4071615,57.33
4148119,57.33
4258082,57.33
4377538,57.33
4380025,57.33
4401696,57.33
4401732,57.33
4500357,57.33
4527100,57.33
4605696,57.33
4652907,57.33
4770768,57.33
4809886,57.33
4853520,57.33
4917008,57.33
5179225,57.33
5248614,57.33
5261084,57.33
5264714,57.33
5347237,57.33
5374608,57.33
5468143,57.33
5517967,57.33
5525689,57.33
5570318,57.33
5671304,57.33
5787072,57.33
5818888,57.33
6089318,57.33
6124827,57.33
6139229,57.33
6141068,57.33
6141523,57.33
6186540,57.33
6393682,57.33
6401292,57.33
6594346,57.33
6685161,57.33
6841920,57.33
6904387,57.33
6983613,57.33
6984830,57.33
7149634,57.33
7150764,57.33
7249143,57.33
7280072,57.33
7384561,57.33
7657429,57.33
7793036,57.33
7843373,57.33
7898334,57.33
7910250,57.33
7994048,57.33
8005729,57.33
8021916,57.33
8045324,57.33
8070412,57.33
8125288,57.33
8152742,57.33
8381583,57.33
8399695,57.33
8436055,57.33
8453675,57.33
8522789,57.33
8715504,57.33
8730045,57.33
8741465,57.33
8751884,57.33
8848520,57.33
9205958,57.33
9374720,57.33
9405498,57.33
9441195,57.33
9904434,57.33
10026324,57.33
10124552,57.33
10196203,57.33
10373002,57.33
10421914,57.33
10455435,57.33
10489133,57.33
10593127,57.33
10809363,57.33
10900626,57.33
10962141,57.33
11050495,57.33
11137924,57.33
11249291,57.33
11253434,57.33
11276686,57.33
11285140,57.33
11374173,57.33
11392402,57.33
11401569,57.33
11414577,57.33
11528546,57.33
11625335,57.33
11628452,57.33
11686488,57.33
11744687,57.33
11751007,57.33
11850185,57.33
11913627,57.33
11955814,57.33
11980776,57.33
12002591,57.33
12002707,57.33
12049604,57.33
12129910,57.33
12204184,57.33
12220462,57.33
12351350,57.33
12445257,57.33
12512642,57.33
12530190,57.33
12629723,57.33
12680965,57.33
12743253,57.33
12946130,57.33
13031013,57.33
13051174,57.33
13084571,57.33
13096190,57.33
13111539,57.33
13275993,57.33
13312860,57.33
13360638,57.33
13530779,57.33
13637262,57.33
13649221,57.33
13654065,57.33
13676303,57.33
13863629,57.33
14069266,57.33
14073229,57.33
14085833,57.33
14091971,57.33
14113013,57.33
14169776,57.33
14176261,57.33
14231175,57.33
14290777,57.33
14334986,57.33
14350442,57.33
14364315,57.33
14496066,57.33
14547139,57.33
14582833,57.33
14653853,57.33
14675259,57.33
14723770,57.33
14743750,57.33
14830932,57.33
14846450,57.33
15034560,57.33
15147655,57.33
15148556,57.33
15248395,57.33
15285305,57.33
15352818,57.33
15645811,57.33
15710472,57.33
15742364,57.33
15827512,57.33
15839777,57.33
15844428,57.33
15947039,57.33
15961884,57.33
16007682,57.33
16018410,57.33
16134969,57.33
16162105,57.33
16180908,57.33
16199091,57.33
16216578,57.33
16253070,57.33
16321522,57.33
16334600,57.33
16355898,57.33
16538582,57.33
16567063,57.33
16726866,57.33
16732751,57.33
16751143,57.33
16865314,57.33
16883272,57.33
16952856,57.33
16976857,57.33
17096044,57.33
17122600,57.33
17138659,57.33
17152109,57.33
17392062,57.33
17439904,57.33
17457430,57.33
17484160,57.33
17525408,57.33
17597677,57.33
17637947,57.33
17655999,57.33
17686068,57.33
17713156,57.33
17747945,57.33
17762577,57.33
17881516,57.33
18059948,57.33
18127653,57.33
18168050,57.33
18178629,57.33
18295403,57.33
18352896,57.33
18372879,57.33
18414770,57.33
18552406,57.33
18735951,57.33
18851321,57.33
18915428,57.33
18977835,57.33
19021076,57.33
19027714,57.33
19118792,57.33
19184500,57.33
19282314,57.33
19285760,57.33
19405346,57.33
19475967,57.33
19614251,57.33
19625479,57.33
19692876,57.33
19694116,57.33
19706268,57.33
19784431,57.33
19803293,57.33
19895540,57.33
19911863,57.33
19979891,57.33
20024700,57.33
20048260,57.33
20127739,57.33
20156727,57.33
20198488,57.33
20260462,57.33
20449968,57.33
20533745,57.33
20546823,57.33
20578903,57.33
20664311,57.33
20666688,57.33
20788024,57.33
20796496,57.33
20807166,57.33
20810383,57.33
20862601,57.33
20929052,57.33
21079777,57.33
21109997,57.33
21233519,57.33
21242503,57.33
21365892,57.33
21387621,57.33
21422260,57.33
21513542,57.33
21525051,57.33
21581626,57.33
21692597,57.33
21736721,57.33
21794958,57.33
21875164,57.33
21879211,57.33
21902291,57.33
21922319,57.33
21962858,57.33
22075653,57.33
22107207,57.33
22414198,57.33
22607445,57.33
22682049,57.33
22752040,57.33
22769160,57.33
22781683,57.33
22801293,57.33
22822080,57.33
23007488,57.33
23044567,57.33
23405407,57.33
23458977,57.33
23522370,57.33
23526691,57.33
23528717,57.33
23535612,57.33
23567737,57.33
23728963,57.33
23803979,57.33
24128559,57.33
24265828,57.33
24311771,57.33
24336476,57.33
24469153,57.33
24594478,57.33
24594802,57.33
24599525,57.33
24607817,57.33
24627347,57.33
24629122,57.33
24700894,57.33
24903216,57.33
24941230,57.33
25038701,57.33
25083792,57.33
25110186,57.33
25288570,57.33
25320649,57.33
25343559,57.33
25444326,57.33
25486908,57.33
25511476,57.33
25536818,57.33
25741852,57.33
25753941,57.33
25830140,57.33
25935965,57.33
26106250,57.33
26144661,57.33
26328482,57.33
26370301,57.33
26451956,57.33
26473948,57.33
26554415,57.33
26719910,57.33
26788486,57.33
26904234,57.33
27009338,57.33
27036176,57.33
27055271,57.33
27110540,57.33
27183502,57.33
27264158,57.33
27295057,57.33
27369092,57.33
27416821,57.33
27616006,57.33
27764999,57.33
27810315,57.33
27845516,57.33
27964940,57.33
28050618,57.33
28059175,57.33
28260564,57.33
28263425,57.33
28269807,57.33
28537011,57.33
28583020,57.33
28585873,57.33
28789892,57.33
28867191,57.33
28885883,57.33
28929553,57.33
29013038,57.33
29020975,57.33
29073018,57.33
29088745,57.33
29171073,57.33
29214225,57.33
29220433,57.33
29241565,57.33
29374108,57.33
29395288,57.33
29395947,57.33
29416421,57.33
29506520,57.33
29664056,57.33
29790353,57.33
29816962,57.33
29833282,57.33
29888147,57.33
29896472,57.33
29903367,57.33
29976814,57.33
30045343,57.33
30067504,57.33
30084046,57.33
30101370,57.33
30243385,57.33
30327826,57.33
30585367,57.33
30681423,57.33
30776321,57.33
30798745,57.33
30891296,57.33
30954511,57.33
31059918,57.33
31074684,57.33
31075669,57.33
31154666,57.33
31187298,57.33
31192547,57.33
31201066,57.33
31204789,57.33
31269451,57.33
31329861,57.33
31468935,57.33
31707632,57.33
31771011,57.33
31779128,57.33
31835645,57.33
31907026,57.33
32113024,57.33
32174022,57.33
32178021,57.33
32228800,57.33
32277822,57.33
32338752,57.33
32427722,57.33
32478082,57.33
32526810,57.33
32546789,57.33
32608036,57.33
32616584,57.33
32702282,57.33
32886321,57.33
32940877,57.33
32944447,57.33
33143842,57.33
33291952,57.33
33319138,57.33
33422266,57.33
33515683,57.33
33526726,57.33
33539677,57.33
33560348,57.33
33565086,57.33
33591731,57.33
33599393,57.33
33720034,57.33
33759833,57.33
33814645,57.33
33860654,57.33
33864957,57.33
33948756,57.33
34021217,57.33
34188949,57.33
34209372,57.33
34258030,57.33
34278187,57.33
34348086,57.33
34360221,57.33
34404360,57.33
34491875,57.33
34493702,57.33
34614430,57.33
34615016,57.33
34641140,57.33
34661002,57.33
34677865,57.33
34736991,57.33
34806522,57.33
34821911,57.33
34946736,57.33
35179319,57.33
35190679,57.33
35476381,57.33
35579222,57.33
35583841,57.33
35629664,57.33
35718749,57.33
35808026,57.33
35888664,57.33
35898105,57.33
35923672,57.33
36043873,57.33
36077716,57.33
36281893,57.33
36314583,57.33
36530811,57.33
36545042,57.33
36602458,57.33
36612911,57.33
36645115,57.33
36784770,57.33
36858744,57.33
36869885,57.33
36878661,57.33
37020672,57.33
37021698,57.33
37032002,57.33
37101615,57.33
37110462,57.33
37178165,57.33
37194311,57.33
37218344,57.33
37265279,57.33
37273107,57.33
37278803,57.33
37281108,57.33
37455495,57.33
37482157,57.33
37483409,57.33
37504889,57.33
37534366,57.33
37729814,57.33
37762518,57.33
37780326,57.33
38137965,57.33
38346242,57.33
38404879,57.33
38410690,57.33
38445746,57.33
38461585,57.33
38521296,57.33
38611001,57.33
38673279,57.33
38829356,57.33
38871103,57.33
39108929,57.33
39252088,57.33
39424984,57.33
39450454,57.33
39594591,57.33
39601711,57.33
39624240,57.33
39943475,57.33
39962930,57.33
40082475,57.33
40112729,57.33
40231013,57.33
40282898,57.33
40312690,57.33
40356644,57.33
40448429,57.33
40487247,57.33
40536051,57.33
40576332,57.33
40592989,57.33
40634815,57.33
40704173,57.33
40798612,57.33
40938363,57.33
40971252,57.33
41070002,57.33
41096720,57.33
41136403,57.33
41269885,57.33
41509494,57.33
41519939,57.33
41624877,57.33
41634218,57.33
41634548,57.33
41651597,57.33
41674697,57.33
41707155,57.33
41836511,57.33
41865089,57.33
41998242,57.33
42006167,57.33
42013058,57.33
42028390,57.33
42033598,57.33
42066872,57.33
42090886,57.33
42115987,57.33
42132981,57.33
42145421,57.33
42165546,57.33
42273591,57.33
42423442,57.33
42564614,57.33
42592663,57.33
42597590,57.33
42657514,57.33
42693794,57.33
42819278,57.33
42833224,57.33
42886222,57.33
42945502,57.33
43083042,57.33
43283286,57.33
43437458,57.33
43543898,57.33
43548532,57.33
43574338,57.33
43621041,57.33
43674036,57.33
43716596,57.33
43752112,57.33
43815836,57.33
43847081,57.33
43927072,57.33
43934511,57.33
43977263,57.33
43989232,57.33
44105647,57.33
44212447,57.33
44213761,57.33
44240742,57.33
44323860,57.33
44373934,57.33
44426380,57.33
44451221,57.33
44676854,57.33
44870967,57.33
44925803,57.33
44926330,57.33
45023741,57.33
45039160,57.33
45062081,57.33
45084117,57.33
45178394,57.33
45215759,57.33
45295780,57.33
45297322,57.33
45321211,57.33
45410224,57.33
45459185,57.33
45657725,57.33
45660428,57.33
45937867,57.33
45956061,57.33
45968720,57.33
46157534,57.33
46285122,57.33
46285705,57.33
46337905,57.33
46407837,57.33
46476009,57.33
46491006,57.33
46501564,57.33
46551747,57.33
46613358,57.33
46782532,57.33
46786697,57.33
46794867,57.33
46881276,57.33
46938637,57.33
46974264,57.33
47017346,57.33
47039514,57.33
47083357,57.33
47129961,57.33
47179183,57.33
47180561,57.33
47290183,57.33
47346515,57.33
47392727,57.33
47479551,57.33
47553624,57.33
47553879,57.33
47554635,57.33
47561186,57.33
47598539,57.33
47657786,57.33
47722294,57.33
47778256,57.33
47781042,57.33
47945142,57.33
48056888,57.33
48064684,57.33
48075224,57.33
48251176,57.33
48293422,57.33
48326048,57.33
48382618,57.33
48427968,57.33
48428465,57.33
48455163,57.33
48461075,57.33
48474761,57.33
48530163,57.33
48575512,57.33
48740235,57.33
48789814,57.33
48838900,57.33
48852987,57.33
48873423,57.33
48890568,57.33
48974924,57.33
48993507,57.33
49031212,57.33
49053625,57.33
49158184,57.33
49188103,57.33
49236151,57.33
49362553,57.33
49447470,57.33
49504655,57.33
49517594,57.33
49517904,57.33
49536164,57.33
49536763,57.33
49584272,57.33
49587163,57.33
49754502,57.33
49828942,57.33
49851115,57.33
49945902,57.33
50016824,57.33
50027038,57.33
50123006,57.33
50192412,57.33
50252960,57.33
50296062,57.33
50326987,57.33
50362021,57.33
50513648,57.33
50514173,57.33
50762614,57.33
50841244,57.33
50877423,57.33
50889539,57.33
50962028,57.33
51047512,57.33
51067330,57.33
51069229,57.33
51090409,57.33
51149042,57.33
51156151,57.33
51193567,57.33
51206735,57.33
51212862,57.33
51303956,57.33
51326053,57.33
51477656,57.33
51633865,57.33
51650482,57.33
51654935,57.33
51950958,57.33
52059551,57.33
52063571,57.33
52115562,57.33
52117477,57.33
52138665,57.33
52163661,57.33
52247906,57.33
52265581,57.33
52320289,57.33
52423994,57.33
52531650,57.33
52694592,57.33
52740517,57.33
52882013,57.33
52884386,57.33
52912941,57.33
52945472,57.33
52952760,57.33
52962211,57.33
52964704,57.33
52999829,57.33
53014507,57.33
53031587,57.33
53158103,57.33
53239381,57.33
53243013,57.33
53244684,57.33
53268354,57.33
53332176,57.33
53384127,57.33
53480730,57.33
53504301,57.33
53543822,57.33
53636588,57.33
53704883,57.33
53740713,57.33
53777211,57.33
53850772,57.33
53855601,57.33
53877623,57.33
53919055,57.33
53928998,57.33
53951471,57.33
53969461,57.33
54082214,57.33
54257544,57.33
54334703,57.33
54567732,57.33
54681886,57.33
54703491,57.33
54733129,57.33
54763831,57.33
54799744,57.33
54963065,57.33
54967201,57.33
55155561,57.33
55172890,57.33
55182540,57.33
55191277,57.33
55194426,57.33
55315310,57.33
55335776,57.33
55399179,57.33
55416086,57.33
33323488,57.3
33638042,57.3
44681564,57.3
51647731,57.3
37724390,57.2
9881130,57.1
3490020,57
8728372,57
11317902,57
13868271,57
19883758,57
21883910,56.9
1036923,56.83
841890,56.8
1148925,56.8
1868124,56.8
1963806,56.8
2113305,56.8
2279082,56.8
2501156,56.8
2977555,56.8
3227372,56.8
3484977,56.8
3816844,56.8
3832052,56.8
4087687,56.8
4502467,56.8
5157029,56.8
5290222,56.8
5383932,56.8
5635413,56.8
5994780,56.8
6203881,56.8
6390858,56.8
6427907,56.8
7852317,56.8
8162177,56.8
8469825,56.8
8745355,56.8
8872938,56.8
9699025,56.8
10585376,56.8
10713219,56.8
10743396,56.8
10757125,56.8
11375821,56.8
11523659,56.8
11532274,56.8
11604844,56.8
11984817,56.8
11997522,56.8
12208952,56.8
12726467,56.8
12773121,56.8
12900525,56.8
13838819,56.8
13844747,56.8
13962737,56.8
14030641,56.8
14033411,56.8
14650186,56.8
14914516,56.8
15041405,56.8
15356372,56.8
15362359,56.8
15502273,56.8
15548398,56.8
15798638,56.8
16031377,56.8
16473305,56.8
16531776,56.8
16587294,56.8
17242465,56.8
17951447,56.8
17970004,56.8
17990598,56.8
18685698,56.8
18864186,56.8
19025357,56.8
19096801,56.8
19121613,56.8
19389420,56.8
19393953,56.8
19540977,56.8
19562840,56.8
19682842,56.8
19816342,56.8
19969513,56.8
19984728,56.8
20324109,56.8
20471164,56.8
20746814,56.8
20747016,56.8
21439313,56.8
21519082,56.8
21709077,56.8
21747947,56.8
22405517,56.8
22950926,56.8
23119469,56.8
23170643,56.8
23739718,56.8
24409164,56.8
24866167,56.8
24958398,56.8
25599104,56.8
26183846,56.8
26381924,56.8
26890489,56.8
27311957,56.8
27558614,56.8
27733769,56.8
28049137,56.8
28269690,56.8
28761265,56.8
28890929,56.8
29009513,56.8
29529342,56.8
29531955,56.8
30919548,56.8
31946294,56.8
32071738,56.8
32160153,56.8
32215175,56.8
32526012,56.8
32572863,56.8
32585513,56.8
33620685,56.8
34036036,56.8
34107899,56.8
34554520,56.8
34897440,56.8
36201186,56.8
36249506,56.8
36267756,56.8
36469996,56.8
36893916,56.8
37161083,56.8
37333864,56.8
37754712,56.8
37933882,56.8
37948373,56.8
38318724,56.8
38324916,56.8
38475290,56.8
39181455,56.8
39460734,56.8
39511007,56.8
39624921,56.8
39707053,56.8
39874180,56.8
40171449,56.8
40208361,56.8
40356386,56.8
40603350,56.8
40621937,56.8
40802111,56.8
41236634,56.8
42451018,56.8
42513407,56.8
42515470,56.8
42555559,56.8
43313774,56.8
43326777,56.8
43472816,56.8
43541188,56.8
43749838,56.8
43762234,56.8
43784045,56.8
44531105,56.8
46415162,56.8
46934733,56.8
47039102,56.8
47344270,56.8
47580553,56.8
